ID,Work Item Type,Title,State,Area Path,Iteration Path,Tags
"1422","Task","Customer Account Inquiry by Cif with Product finacle API","Done","NewGen","NewGen\Sprint 1",
"1025","Task","Retail Customer Add by Refugee ID","Done","NewGen","NewGen\Sprint 1",
"1024","Task","Retail Customer Add by Alien ID","Done","NewGen","NewGen\Sprint 1",
"1033","Product Backlog Item","Cif Verification","Done","NewGen","NewGen\Sprint 1",
"1047","Product Backlog Item","Signature and Photo","Done","NewGen","NewGen\Sprint 1",
"1048","Task","Signature and photo query","Done","NewGen","NewGen\Sprint 1",
"1199","Task","Dormant Account Activation","Done","NewGen","NewGen\Sprint 1",
"1198","Product Backlog Item","Customer Account","New","NewGen","NewGen\Sprint 1",
"1011","Task","Customer Inquiry by Passport Number","Done","NewGen","NewGen\Sprint 1",
"1010","Task","Customer Inquiry by National ID","Done","NewGen","NewGen\Sprint 1",
"1079","Task","Customer Account Inquiry by Cif Number","Done","NewGen","NewGen\Sprint 1",
"1002","Task","Serial Number Validation Tanzania","To Do","NewGen","NewGen\Sprint 6",
"1001","Task","Alien ID Validation Tanzania","To Do","NewGen","NewGen\Sprint 6",
"1000","Task","Passport Validation Tanzania","To Do","NewGen","NewGen\Sprint 6",
"997","Task","National ID validation - Tanzania","To Do","NewGen","NewGen\Sprint 6",
"1031","Task","Corporate Cif Creation","To Do","NewGen","NewGen\Sprint 6",
"1039","Task","Email Notification","Done","NewGen","NewGen\Sprint 1",
"1036","Task","Update Customer Master Data","To Do","NewGen","NewGen\Sprint 1",
"1034","Task","Cif Verification","Done","NewGen","NewGen\Sprint 1",
"1023","Task","Retail Customer Add by Passport Number","To Do","NewGen","NewGen\Sprint 1",
"1021","Task","Retail Customer Add by National ID","Done","NewGen","NewGen\Sprint 1",
"1014","Task","Customer Inquiry for Company","To Do","NewGen","NewGen\Sprint 1",
"1013","Task","Customer Inquiry by Serial Number","To Do","NewGen","NewGen\Sprint 1",
"1012","Task","Customer Inquiry by Alien ID","To Do","NewGen","NewGen\Sprint 1",
"1007","Task","Foreigner Non Kenyan Resident World Check","To Do","NewGen","NewGen\Sprint 1",
"1006","Task","Foreigner Kenyan World Check","To Do","NewGen","NewGen\Sprint 1",
